hotel name --- StayApart - Chiabari Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Cedar Inn, key -- paymenttype, error -- list index out of range 
hotel name --- Traditional Hotel & Restaurant !! Kurseong !! Best Hotel in Kurseong, key -- paymenttype, error -- list index out of range 
hotel name --- Hotel Hill Queen near Sherpa Gumba Darjeeling Mall 5 Min Couple Friendly, key -- paymenttype, error -- list index out of range 
hotel name --- Miracle, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- NRS Norling Retreat - Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Q SAINA Mapham, key -- paymenttype, error -- list index out of range 
hotel name --- THE RETREAT, DARJEELING, key -- paymenttype, error -- list index out of range 
hotel name --- VMA stay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sumitel Sanderling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel premium Good Morning, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Magnolia Farmhouse and Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Toy Train Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sewaney homestay, key -- cancelType, error -- list index out of range 
hotel name --- Sewaney homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Sewaney homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel D. Sangay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Echo Hotel and Spa, Mall Road by Tej Hotels and Resorts, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel Z Adarash, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Tapovan Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Hotal Season, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- The Breeze Homestay, key -- cancelType, error -- list index out of range 
hotel name --- The Breeze Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- The Breeze Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Amarjeet Hotel, key -- cancelType, error -- list index out of range 
hotel name --- Amarjeet Hotel, key -- paymenttype, error -- list index out of range 
hotel name --- View Point Residency , Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- PHR North Point Hotel Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- PHR North Point Hotel Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- DARJEELING HOTEL PREMIUM TREEPLE TREE Near Mall Road - A Top Rated Hotel In Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
